Id,SE,Label,Weighted In-Degree,Authority,Hub,PageRank
2,101, Kevin Montrose,0,0,0,0
3,101, Jarrod Dixon,0,0,0,0
4,101, Jin,0,0,0,0
5,101, Robert Cartaino,0,0,0,0
6,445, carl,0,0,0.0001770538,0
7,489, Brock Boland,19,0.0003262111,0.0005311615,0.000107744
8,11267, Neil Fein,682,0.009867884,0.013279037,0.0029957775
9,718, Mike Two,43,0.0007339749,0.0014164306,0.0001668635
10,68, Andrew,0,0,0.0001770538,0
11,829, kkeilman,66,0.0007339749,0.0014164306,0.000177367
12,211, kāgii,11,0.0001631055,0,8.87420615487754E-005
13,68, mrooney,0,0,0.0001770538,0
14,151, James Jones,0,0,0,0
15,133, D Lawson,0,0,0.0001770538,0
16,101, JStriedl,0,0,0,0
17,2297, Drew Stephens,128,0.0019572664,0.0033640226,0.0005100788
18,101, Geoff Dalgas,0,0,0,0
19,2062, geoffc,153,0.0037514272,0.0065509914,0.0006669962
20,186, kc-bike,5,0.0002446583,0.0005311615,9.11611607959245E-005
21,489, mfg,12,0.0004893166,0.001062323,0.0001864682
23,3374, Dustin,225,0.0018757136,0.0033640226,0.0007185743
24,161, nkassis,3,0.0001631055,0,0.0001044722
25,839, Nik Reiman,47,0.0005708694,0.0012393767,0.0002047247
26,198, leiflundgren,0,0,0.0001770538,0
27,327, jensgram,18,0.0004077638,0,0.0001348363
28,1363, Jared Harley,105,0.001060186,0.001947592,0.0002549918
29,1246, Johan Dahlin,18,0.0004893166,0.0008852691,0.0001760123
30,4514, curtismchale,326,0.004893166,0.007790368,0.0014188684
31,162, jenglert,9,0.0003262111,0.0007082153,0.0002645235
32,2091, M. Converse,154,0.0012232915,0.001947592,0.0002637385
33,875, Scottie,84,0.0007339749,0.001062323,0.0002515815
34,241, PeterB,0,0,0.0001770538,0
35,325, Ryan Olson,2,0.0002446583,0.0005311615,0.0001126233
36,133, Zannjaminderson,0,0,0.0001770538,0
37,553, Tim,37,0.001060186,0,0.000214783
38,406, Tommy Williams,29,0.0002446583,0,0.0001333391
39,426, Christopher Scott,31,0.0009786332,0,0.0003838052
40,156, Pekka 웃,0,0,0.0001770538,0
41,256, William Gross,14,0.0002446583,0,9.52067371300191E-005
43,181, BC-,8,0.0002446583,0,9.16716023967086E-005
44,326, ire_and_curses,8,0.0001631055,0.0003541076,9.26076345000164E-005
45,101, silvo,0,0,0,0
46,391, Marve,29,0.0002446583,0,0.0001080802
47,2559, bikesandcode,231,0.001386397,0.0023016997,0.0003579493
48,149, Zepplock,4,0.0003262111,0,0.0001067617
49,345, Ian Houghton,19,0.0003262111,0.0007082153,0.000110187
50,2194, Jack M.,156,0.002772794,0.004957507,0.0009106881
51,241, Alex Reitbort,2,0.0001631055,0.0003541076,9.74078235793458E-005
52,198, Rebekah,1,0.0001631055,0.0003541076,9.55061389820862E-005
53,101, Nick Canzoneri,0,0,0,0
54,138, eswald,0,0,0.0001770538,0
55,151, fryguybob,0,0,0,0
56,398, LoganGoesPlaces,19,0.0005708694,0.001062323,0.0001762998
58,161, Tim Drisdelle,6,0.0001631055,0,0.000098369
59,229, CTKeane,12,0.0002446583,0,9.73660541776937E-005
60,101, Mark Biek,0,0,0,0
61,121, Daniel Fortunov,2,0.0001631055,0,0.0001042246
62,476, Paul Vernaza,46,0.0005708694,0,0.0001860863
63,379, noah,21,0.0002446583,0.0005311615,0.0001820817
64,81, breese524,8,0.0002446583,0,0.0001716075
66,545, dotjoe,26,0.0013048443,0.001947592,0.0003193471
67,1009, Geoff,76,0.0011417387,0.0023016997,0.0004848551
68,503, Russ Warren,14,0.0004077638,0.0007082153,0.0001196184
69,797, Murph,114,0.0012232915,0.0023016997,0.0003132269
70,101, flicken,0,0,0,0
71,506, Joe Philllips,8,0.0004893166,0.001062323,0.0002219322
73,1532, Kevin,152,0.0008155276,0.0015934844,0.0001838193
75,101, Jamie Ide,0,0,0,0
76,11774, freiheit,1017,0.009704779,0.0120396605,0.0039147979
77,41, Patrick,4,0.0001631055,0,9.25894829914023E-005
78,101, James Sutherland,0,0,0,0
79,1735, Amos,137,0.003099005,0.004780453,0.0005070224
80,148, GluedHands,0,0,0.0001770538,0
81,101, Emmett,0,0,0,0
82,101, Paul Betts,0,0,0,0
83,501, kristof,43,0.0006524221,0.0012393767,0.0001861567
84,226, muerte,9,0.0002446583,0.0005311615,0.0001105186
85,133, Bartek Tatkowski,0,0,0.0001770538,0
86,203, Bob,5,0.0001631055,0.0003541076,0.000132269
87,1002, 42-17,83,0.0008970804,0,0.000270167
88,101, tgandrews,0,0,0,0
89,101, 3rdparty,0,0,0,0
90,243, futura,0,0,0.0001770538,0
91,101, rmoore,0,0,0,0
92,279, Dog Ears,3,0.0001631055,0.0003541076,9.3378175901324E-005
94,263, studiohack,3,0.0001631055,0.0003541076,8.97765795736103E-005
95,101, Brendan Long,0,0,0,0
96,939, Wilka,66,0.0008970804,0.0015934844,0.0001889599
97,317, Dan McClain,26,0.0004077638,0.0007082153,0.0001970224
98,101, Adam Hollidge,0,0,0,0
99,355, WW01,2,0.0001631055,0.0003541076,0.0001756366
100,101, Chris,0,0,0,0
101,68, jeffesp,0,0,0.0001770538,0
102,253, mlsteeves,10,0.0001631055,0.0001770538,9.13938775418747E-005
103,101, PetriW,0,0,0,0
104,161, gnarf,0,0,0.0001770538,0
105,1034, milesmeow,9,0.0003262111,0.0007082153,9.93148626950277E-005
106,2933, Anthony K,102,0.00236503,0.0046033994,0.0009617711
107,598, Ben,34,0.0005708694,0.0008852691,0.0001993166
108,129, Joel Spolsky,2,0.0001631055,0,0.0001044722
109,223, gabe.,0,0,0.0001770538,0
111,101, humble coffee,0,0,0,0
112,161, John Dyer,6,0.0003262111,0,0.0001122907
113,121, adrian,2,0.0001631055,0,8.72733185531425E-005
114,101, Pete,0,0,0,0
115,322, Andrew Lowe,20,0.0004077638,0.0008852691,0.00030742
117,183, eds,0,0,0.0001770538,0
119,101, Stevo,0,0,0,0
120,431, peppajiggapuff,30,0.0003262111,0,0.0001035951
122,614, Tadeusz A. Kadłubowski,17,0.0003262111,0.0005311615,0.0001540638
123,101, waxwing,0,0,0,0
124,465, Jeff Atwood,35,0.0001631055,0,8.84405804822145E-005
125,717, solomongaby,2,0.0002446583,0.0005311615,0.0001630508
126,926, Richard Tasker,58,0.0008970804,0.0015934844,0.000286508
127,847, Martynnw,50,0.0011417387,0.002124646,0.0002680944
128,532, Tom Hawtin - tackline,30,0.0004893166,0.001062323,0.0001391228
129,463, Greg B,0,0,0.0001770538,0
130,1546, ttarchala,117,0.0018757136,0.0030099151,0.0006058023
131,872, b.roth,70,0.0004893166,0.001062323,0.0001109934
132,3287, Ian,208,0.0031805579,0.0054886686,0.0006804936
133,219, rschuler,17,0.0004893166,0,0.0002446997
134,3143, sixtyfootersdude,129,0.002772794,0.004249292,0.0005399742
136,61, Chase,6,0.0001631055,0,0.0002525427
137,101, David Fullerton,0,0,0,0
138,136, Robbie,0,0,0.0001770538,0
139,216, jdv,9,0.0003262111,0.0003541076,0.000276486
140,101, matt smillie,0,0,0,0
141,101, Sam Saffron,0,0,0,0
144,208, John Owen,1,0.0001631055,0.0001770538,9.02313613323774E-005
145,101, Michael Kohne,0,0,0,0
146,581, Dan Moulding,53,0.0004893166,0.0008852691,0.0001421781
147,375, davefiddes,11,0.0003262111,0.0007082153,0.0001094798
148,101, Ashish,0,0,0,0
150,101, heavilyinvolved,0,0,0,0
152,136, Paul,9,0.0002446583,0.0003541076,0.0001292087
153,1175, Dana the Sane,91,0.0022019246,0.004249292,0.0004889778
154,101, brainimus,0,0,0,0
157,7173, darkcanuck,436,0.00530093,0.00832153,0.0015356618
158,252, drfrogsplat,4,0.0001631055,0.0003541076,0.0001144562
159,101, Matt Parker,0,0,0,0
161,151, Scott Robinson,5,0.0001631055,0,8.91106186009114E-005
162,113, jumar,0,0,0.0001770538,0
163,6422, Kibbee,450,0.009704779,0.009206799,0.0035477821
166,530, MDV2000,37,0.0009786332,0.0014164306,0.0002243661
167,1023, Adam Franco,82,0.0006524221,0.0014164306,0.0001624478
168,156, baldy,4,0.0003262111,0,0.0001915098
169,416, Mahomedalid,23,0.0004893166,0.0008852691,0.0001497741
170,11, Jay Dillon,1,0.0001631055,0,8.91106186009114E-005
171,101, gareth_bowles,0,0,0,0
172,101, Edward Wilde,0,0,0,0
174,381, Trey Jackson,13,0.0006524221,0.0012393767,0.000414044
175,241, Nicolas Marchildon,0,0,0.0001770538,0
176,101, bernie,0,0,0,0
178,746, Dennis Wurster,61,0.0007339749,0.0012393767,0.0002581903
179,161, Nathan Bowers,6,0.0001631055,0,0.000095256
180,138, Tyler Gillies,0,0,0.0001770538,0
181,373, Jackson,30,0.0007339749,0,0.0002656757
182,101, mafutrct,0,0,0,0
183,649, mouviciel,72,0.0014679497,0,0.0002427666
184,101, Tim,0,0,0,0
185,101, AVD,0,0,0,0
186,101, Michał Pękała,0,0,0,0
187,101, Brian Kelly,0,0,0,0
188,978, Mark Ingram,35,0.0005708694,0.0012393767,0.0001333012
189,101, desolat,0,0,0,0
191,101, Nick Pierpoint,0,0,0,0
192,101, mxmissile,0,0,0,0
193,201, tomjedrz,10,0.0001631055,0,9.25894829914023E-005
194,101, John Weldon,0,0,0,0
197,101, Dusty Campbell,0,0,0,0
199,101, Daryl Spitzer,0,0,0,0
200,101, alumb,0,0,0,0
201,216, Don Kirkby,10,0.0002446583,0.0005311615,0.0001540557
202,101, Commander Keen,0,0,0,0
203,101, chrisbtoo,0,0,0,0
204,161, Chris_K,6,0.0002446583,0,9.22962010895805E-005
205,101, Greg,0,0,0,0
206,61, Brandur,6,0.0001631055,0,9.25894829914023E-005
207,101, Chris Simpson,0,0,0,0
208,101, 81bronco,0,0,0,0
210,267, Soo Wei Tan,0,0.0002446583,0.0005311615,0.0001477696
211,101, Avi Flax,0,0,0,0
212,101, Andy Mortimer,0,0,0,0
213,9711, Gary.Ray,582,0.007584407,0.011862606,0.0041052488
214,101, Kyle Cronin,0,0,0,0
215,101, TJ Ellis,0,0,0,0
216,101, Pete Amundson,0,0,0,0
217,301, Chris Leon,20,0.0003262111,0,0.0001633117
218,303, kamens,0,0,0.0001770538,0
219,141, Jason,26,0.0002446583,0,9.82654337507026E-005
220,101, Neil Trodden,0,0,0,0
222,188, Scott Cowan,0,0,0.0001770538,0
223,131, Chris Benard,3,0.0001631055,0,9.53173697489281E-005
224,357, Jader Dias,0,0,0.0001770538,0
225,101, Jeffrey,0,0,0,0
228,101, jeffm,0,0,0,0
230,1, Angelo Giannatos,0,0,0,0
231,41, ThereSkippy,4,0.0001631055,0,9.25894829914023E-005
232,101, Matt,0,0,0,0
233,24, Prajwal Tuladhar,0,0,0.0001770538,0
234,158, Craig Walker,0,0,0.0001770538,0
235,101, Gelatin,0,0,0,0
236,101, Jonik,0,0,0,0
237,101, Peter Recore,0,0,0,0
238,188, Piers Myers,1,0.0001631055,0.0003541076,9.51952656095336E-005
239,101, Jason Punyon,0,0,0,0
240,166, infamouse,5,0.0001631055,0,9.66252004846126E-005
241,101, Chris S,0,0,0,0
243,155, Chris Lieb,4,0.0001631055,0,9.34180837602406E-005
244,360, Kara Marfia,3,0.0001631055,0.0003541076,0.000095256
245,2669, tplunket,188,0.002446583,0,0.0007120678
246,131, Paul Butcher,3,0.0001631055,0,9.25894829914023E-005
247,101, Matt Sherman,0,0,0,0
248,101, rick schott,0,0,0,0
250,136, Todd Smith,0,0.0001631055,0.0003541076,0.0001202271
251,171, gus,25,0.0005708694,0,0.0001115098
252,66, bicycledistrict,5,0.0001631055,0,0.0001044722
253,101, Matt,0,0,0,0
254,101, Bernard Chen,0,0,0,0
255,121, Chadwick,2,0.0001631055,0,0.000098369
257,101, arathorn,0,0,0,0
258,101, Am1rr3zA,0,0,0,0
259,440, Jonny Cundall,28,0.0008970804,0.0017705383,0.0002106858
260,101, Bill the Lizard,0,0,0,0
262,833, nhinkle,28,0.0004893166,0.0007082153,0.0001546726
263,107, RegDwight,0,0,0,0
264,101, ahsteele,0,0,0,0
265,101, ibnu,10,0.0004077638,0,0.0001149167
266,101, Mark Glorie,0,0,0,0
267,101, leander,0,0,0,0
268,101, matt b,0,0,0,0
269,984, D'Arcy Norman,90,0.0017941608,0,0.0005913997
270,101, ScaleOvenStove,0,0,0,0
272,466, markdrayton,32,0.0007339749,0,0.0001995005
273,59, Mr. Palomar,5,0.0003262111,0.0005311615,9.89315698881458E-005
275,713, Torben Gundtofte-Bruun,56,0.0004077638,0.0005311615,0.0001543872
276,187, Tom,7,0.0003262111,0,0.0001669064
277,101, Jarret Hardie,0,0,0,0
278,101, Tom Duckering,0,0,0,0
279,105, splattne,0,0,0,0
280,101, jessecurry,0,0,0,0
281,251, Bizee Biker,13,0.0002446583,0.0005311615,0.0001208831
282,101, itrekkie,0,0,0,0
283,101, Patrick,0,0,0,0
284,101, Scott Saad,0,0,0,0
285,101, imaginaryboy,0,0,0,0
286,101, Studer,0,0,0,0
287,101, GSto,0,0,0,0
288,906, kevins,82,0.0008970804,0.0017705383,0.0002712122
289,51, ExecutiveCycling.com,5,0.0003262111,0,0.0001378898
290,101, waiwai933,0,0,0,0
292,101, Crispy,0,0,0,0
293,355, Marc Charbonneau,24,0.0004893166,0,0.0002082925
294,101, Donny Kurnia,0,0,0,0
295,541, John Lam,32,0.0008155276,0.0015934844,0.000315675
297,101, Jim Fiorato,0,0,0,0
298,101, Jörg W Mittag,0,0,0,0
299,101, david a.,0,0,0,0
301,101, Jason Gritman,0,0,0,0
302,101, Pablo Alejandro Costesich,0,0,0,0
304,101, bill weaver,0,0,0,0
305,101, txwikinger,0,0,0,0
306,101, Bruce,0,0,0,0
308,51, Sian,5,0.0001631055,0,8.72733185531425E-005
309,151, dove,4,0.0001631055,0,8.97765795736103E-005
310,101, Rasmus,0,0,0,0
311,298, shabbychef,10,0.0002446583,0.0001770538,0.0001162091
312,101, finnw,0,0,0,0
316,301, Simon,22,0.0004077638,0.0008852691,0.0001094926
317,101, Miguel Ventura,0,0,0,0
318,101, Drake,0,0,0,0
319,101, andynormancx,0,0,0,0
320,959, user155695,2,0.0001631055,0.0003541076,9.34180837602406E-005
321,101, gbc,0,0,0,0
322,165, intuited,0,0,0.0001770538,0
323,101, mfinni,0,0,0,0
324,187, MrDatabase,0,0,0.0001770538,0
326,101, Tom Wright,0,0,0,0
327,101, jscott,0,0,0,0
328,958, Jay,74,0.0012232915,0.001947592,0.0003337696
329,61, Sam Whitlock,35,0.0003262111,0,0.0001134372
330,101, Cipi,0,0,0,0
332,101, Ryan Shripat,0,0,0,0
333,101, oeuftete,0,0,0,0
335,216, Hamish Downer,0,0,0.0001770538,0
336,101, Curt Hagenlocher,0,0,0,0
337,101, Matthew Crumley,0,0,0,0
338,101, aks,0,0,0,0
340,192, Matt,4,0.0002446583,0.0005311615,0.0001632652
341,109, Nathan Baulch,0,0,0.0001770538,0
343,101, jon3laze,0,0,0,0
344,101, lukya,0,0,0,0
345,61, MaoPU,6,0.0001631055,0,9.13938775418747E-005
346,261, Brian Genisio,9,0.0004077638,0.0003541076,0.0001295968
348,62, foldinglettuce,0,0.0001631055,0.0003541076,0.0001013853
349,1151, Brian Knoblauch,69,0.002772794,0.0044263457,0.0004038103
350,3097, deemar,242,0.0022834775,0.0031869689,0.000623323
351,204, MGOwen,7,0.0002446583,0.0005311615,0.000095169
352,101, Joel Borggrén-Franck,0,0,0,0
353,101, Vladimir Grigorov,0,0,0,0
354,101, Wim ten Brink,0,0,0,0
355,101, Rob Di Marco,0,0,0,0
356,101, Walter Rumsby,0,0,0,0
358,133, Tom Anderson,0,0.0001631055,0.0003541076,0.0001976799
359,101, Paul Fisher,0,0,0,0
360,101, Jim Blake,0,0,0,0
362,101, Leaf Garland,0,0,0,0
364,101, Christopher Parker,0,0,0,0
365,101, Andrew Aylett,0,0,0,0
366,101, bacar,0,0.0001631055,0,8.87420615487754E-005
367,131, Dan Monego,3,0.0001631055,0,8.87420615487754E-005
369,101, djeidot,0,0,0,0
371,168, Ricket,0,0,0.0001770538,0
374,101, Jon Norton,0,0,0,0
376,101, Jeeva S,0,0,0,0
377,1, Adrian,0,0,0,0
379,101, mogr,0,0,0,0
380,101, Dan,0,0,0,0
382,95, Corey McKinnon,-3,0.0001631055,0,0.0001044722
383,101, Femaref,0,0,0,0
385,242, Elias Zamaria,4,0.0002446583,0.0005311615,0.0001457389
386,131, S_H,0,0,0.0001770538,0
388,253, Lee Hambley,7,0.0001631055,0.0003541076,0.0001038104
389,918, LanceH,86,0.001060186,0,0.0002082993
390,43, lieutenantmudd,1,0.0001631055,0,9.25894829914023E-005
392,171, btk,7,0.0002446583,0,0.0002760681
393,136, meder,0,0,0.0001770538,0
394,899, Jerry Coffin,73,0.001060186,0,0.0005542277
395,101, celenius,0,0,0,0
396,939, Byron Ross,56,0.0007339749,0,0.000207303
398,101, Sepehr Lajevardi,0,0,0,0
400,186, Iain,7,0.0003262111,0,0.0001322035
402,111, Catch22,1,0.0001631055,0,0.0002410039
403,163, tenpn,0,0,0.0001770538,0
404,101, Rene Saarsoo,0,0.0001631055,0,8.92141596490673E-005
405,143, Artiom Chilaru,0,0,0.0001770538,0
406,350, dhill,22,0.0008155276,0.0015934844,0.0001458801
407,86, Casey,7,0.0003262111,0,0.0001066043
408,138, Dan,0,0,0.0001770538,0
409,101, Rahul,0,0.0001631055,0,0.0001441555
411,101, neesh,0,0,0,0
412,101, bychkov,0,0,0,0
414,101, darbat,0,0,0,0
416,101, Luke Francl,0,0,0,0
417,2185, Vache,153,0.0022834775,0.004249292,0.0005499176
419,101, Larry Wang,0,0,0,0
420,101, bob esponja,9,0.0001631055,0,8.72733185531425E-005
421,1877, Papuass,122,0.0035883216,0.003895184,0.0024919189
422,99, Restuta,-1,0.0001631055,0,0.0001048959
423,101, maranas,0,0,0,0
424,2742, jilles de wit,256,0.0046485076,0.0060198302,0.0018816223
425,8232, Unsliced,591,0.008236829,0.011862606,0.0023927386
427,2909, mgb,189,0.0029358994,0.0044263457,0.0009198748
430,101, William Pietri,1,0.0001631055,0,8.99083403549161E-005
431,101, Mitch Flax,0,0,0,0
433,128, Daniel,0,0,0.0001770538,0
435,76, jrj,0,0,0.0001770538,0
436,101, Peter Walke,0,0,0,0
438,151, BobF,12,0.0002446583,0,0.0001902843
439,128, MorganTiley,0,0,0.0001770538,0
440,101, oneat,0,0,0,0
441,101, Avalanchis,0,0,0,0
442,101, Jon Shea,0,0,0,0
443,124, fennec,0,0.0002446583,0,0.000104418
444,803, GvS,87,0.0016310553,0.0028328612,0.0016385493
445,101, morfu,0,0,0,0
446,661, Phil Hale,12,0.0004893166,0.001062323,0.0001211328
448,131, rz_,0,0,0.0001770538,0
449,181, Anthony,3,0.0001631055,0.0003541076,8.77830805762634E-005
450,101, Mark C,0,0,0,0
451,101, fahadsadah,0,0,0,0
452,118, Will Vousden,0,0,0.0001770538,0
454,1744, Brian Campbell,30,0.0005708694,0.0008852691,0.0001408455
457,101, Egon,0,0,0,0
458,101, Elrohir,0,0,0,0
459,101, Nikolai Prokoschenko,0,0,0,0
460,275, Commodore Jaeger,9,0.0003262111,0.0005311615,0.000144415
461,116, Joel Aufrecht,0,0,0.0001770538,0
462,113, David M.,0,0,0.0001770538,0
465,101, me_and,0,0,0,0
466,101, Yakimych,0,0,0,0
467,101, Joseph Kingry,0,0,0,0
468,101, ajborley,0,0,0,0
471,101, balpha,0,0,0,0
472,1502, Scott Langham,95,0.002120372,0.0030099151,0.0005924798
474,101, Brian Bolton,0,0,0,0
475,302, Jay,16,0.0003262111,0.0005311615,0.0001366406
476,101, paradroid,0,0,0,0
477,107, Daenyth,0,0,0,0
478,156, Bit Destroyer,3,0.0001631055,0.0003541076,9.00181752065029E-005
479,101, Mike Kale,0,0,0,0
480,231, Dimitri C.,0,0,0.0001770538,0
481,208, roviuser,0,0,0.0001770538,0
482,123, Tamás,0,0,0.0001770538,0
483,101, mojo,0,0,0,0
484,171, NimChimpsky,10,0.0003262111,0,0.0001124866
485,123, lazfish,0,0,0.0001770538,0
486,101, Barry Wark,0,0,0,0
487,101, Michael Pryor,0,0,0,0
489,101, Dori,0,0,0,0
490,131, Toon Krijthe,8,0.0003262111,0,0.0001796954
491,500, Will,25,0.0003262111,0.0007082153,0.0001796954
493,101, Richard,0,0,0,0
494,196, Todd,12,0.0003262111,0,0.0002206113
496,168, CLJ,5,0.0004893166,0.0008852691,0.0001815892
497,101, Iznogood,0,0,0,0
498,121, lawrence,2,0.0001631055,0,8.89692937443962E-005
499,339, fady,17,0.0006524221,0.0005311615,0.0006286272
500,101, user500,0,0,0,0
501,101, levanovd,0,0,0,0
503,101, Babu,0,0,0,0
504,101, Cristian,0,0,0,0
505,11, Martin,0,0,0.0001770538,0
506,241, asjo,14,0.0002446583,0,0.0001194962
507,101, Kevin Won,13,0.0001631055,0,0.0001756366
509,101, bjarkef,0,0,0,0
510,273, Wayne Johnston,15,0.0006524221,0,0.0002301384
511,101, Joren,0,0,0,0
513,101, sunwukung,0,0,0,0
515,156, Todd Pierce,4,0.0001631055,0,9.0470702904921E-005
517,143, tttppp,0,0,0.0001770538,0
518,126, Ivor,22,0.0004077638,0,0.0001696112
519,229, Mauro,12,0.0004077638,0,0.0001273099
520,101, Amarghosh,0,0,0,0
521,101, joekutner,0,0,0,0
522,101, snitzr,0,0,0,0
523,101, Colin Pickard,0,0,0,0
524,101, Joost Schuur,0,0,0,0
525,21, Zack Ham,2,0.0001631055,0,0.0001013755
526,1, Greg Annandale,0,0,0,0
527,101, kubi,0,0,0,0
528,41, edhenn,4,0.0002446583,0,0.0001001273
529,103, Darryl Hein,0,0,0,0
532,101, Anders,0,0,0,0
533,148, Jay R.,0,0,0.0001770538,0
534,101, Matthew Rankin,0,0,0,0
535,101, Christian,0,0,0,0
536,101, mwalker,0,0,0,0
537,121, robert,2,0.0001631055,0,9.62552902236881E-005
542,483, Joonas Pulakka,36,0.0004893166,0.0005311615,0.0001271289
543,101, Chris R,0,0,0,0
544,101, user544,0,0,0,0
545,128, drury,0,0,0.0001770538,0
546,101, Mohit Jain,0,0,0,0
547,166, fluteflute,5,0.0001631055,0,9.25894829914023E-005
549,333, helloworlder,23,0.0003262111,0.0007082153,0.0001082628
550,101, mskfisher,0,0,0,0
551,101, spoon16,0,0,0,0
552,101, Alexander,2,0.0001631055,0,8.86058072303297E-005
553,443, Precipitous,10,0.0001631055,0.0003541076,9.7110631038112E-005
554,123, Idsa,0,0,0.0001770538,0
555,140, Tom Stephens,3,0.0002446583,0.0003541076,9.29070509530141E-005
556,79, Owner of Balance Bikes 4 Kids,7,0.0001631055,0,9.62552902236881E-005
558,101, piquadrat,0,0,0,0
559,51, tylernol,0,0,0.0001770538,0
560,101, Raphomet,0,0,0,0
561,193, Ken Aspeslagh,6,0.0002446583,0.0005311615,9.87311570152385E-005
562,101, MathieuF,0,0,0,0
563,1638, zigdon,127,0.002038819,0.0040722378,0.0005852577
565,193, Will Hardy,0,0,0.0001770538,0
566,101, plodoc,0,0,0,0
567,121, Pavitar,0,0,0.0001770538,0
568,694, David HAust,63,0.0009786332,0.0017705383,0.0002562669
569,101, Peter G.,0,0,0,0
570,101, Mike Caron,0,0,0,0
571,101, crazysim,0,0,0,0
572,141, Sprintstar,4,0.0001631055,0,8.96501032276288E-005
573,101, yossarian,0,0,0,0
575,101, Josh Leitzel,0,0,0,0
577,414, Kyralessa,29,0.0004893166,0,0.0001750296
579,111, Mark Heath,0,0,0,0
580,226, Ville M,5,0.0002446583,0.0003541076,0.0001533664
582,101, dheerosaur,0,0,0,0
583,101, Michael Petrotta,0,0,0,0
584,101, Jeremy McGee,0,0,0,0
585,101, Mark Cidade,0,0,0,0
586,101, Zoredache,0,0,0,0
588,151, JeffV,0,0,0.0001770538,0
591,101, blunders,0,0,0,0
593,101, koregan,0,0,0,0
594,101, DrFalk3n,0,0,0,0
595,101, Mouhannad,0,0,0,0
596,101, molgar,0,0,0,0
597,101, Galwegian,0,0,0,0
598,101, m_sharp,0,0,0,0
601,146, dunxd,3,0.0001631055,0,9.25894829914023E-005
602,101, nanda,0,0,0,0
