Id,SE,Name,Weighted In-Degree,Authority,Hub,PageRank
2,238, Geoff Dalgas,0,0,8.120838E-005,0
3,151, Jarrod Dixon,0,0,8.120838E-005,0
4,183, Emmett,0,0,8.120838E-005,0
5,101, Kyle Cronin,0,0,0,0
6,101, Kevin Montrose,0,0,0,0
7,142, David Fullerton,0,0,8.120838E-005,0
8,912, Robert Cartaino,76,0.000456135,0.0007308754,0.0003253832
9,534, Rebecca Chernoff,17,0.0001900563,0.0002436251,0.000057992
10,101, Chris_K,0,0,0,0
11,101, Victor Stanciu,0,0,0,0
12,358, statenjason,13,7.60225E-005,0.0001624168,4.43377657746925E-005
13,186, Sonia Balagopalan,23,0.000152045,0.0003248335,5.91279080201087E-005
14,568, shsteimer,13,7.60225E-005,0.0001624168,4.40253559255363E-005
15,7819, mfg,501,0.00699407,0.009420172,0.0028808631
16,2419, Lorenzo,122,0.0004941463,0.0008120838,8.88964344234039E-005
17,909, Donut,42,0.0001140338,0.0002436251,4.86228941036062E-005
18,293, Ryan Olson,25,0.000152045,0.0002436251,5.41545007111997E-005
19,1028, Joel Spolsky,78,0.0004941463,0.0008120838,0.0001418163
20,1324, Tree77,83,0.000456135,0.0008120838,0.0001448924
21,859, Curry,16,0.0002280675,0.0004060419,0.000137469
22,995, moonshadow,75,0.0007602251,0.0012993341,0.0001897963
24,484, thelsdj,0,0,8.120838E-005,0
25,525, Cade Roux,31,0.0002660788,0.0003248335,5.61747995467297E-005
26,731, BarrettJ,47,0.0003421013,0.0004872503,0.0001091176
27,2437, Kyra,95,0.0010263037,0.0019490011,0.0001958412
28,101, Mr Shark,0,0,0,0
29,383, MJeffryes,3,0.0001140338,0.0001624168,0.000047213
31,781, forefinger,46,0.0003801125,0.0006496671,0.0001131075
32,1202, Jacob R,46,0.0004181238,0.0007308754,0.0002328979
33,1731, Kev,115,0.0006461913,0.0013805425,0.0001080724
34,496, pdemarest,31,0.0003801125,0.0006496671,7.12502342278359E-005
35,675, Daniel Moura,21,0.00030409,0.0005684587,6.39537265051821E-005
36,297, altCognito,0,0,8.120838E-005,0
37,141, Daniel,4,7.60225E-005,0,4.36951611417693E-005
38,153, theycallmemorty,0,0,8.120838E-005,0
39,434, Judy,7,0.0001140338,0.0001624168,5.74722825587439E-005
40,892, Tesserex,40,0.00030409,0.0004872503,7.12995457548095E-005
41,38116, Aaronut,2684,0.01155542,0.013643008,0.0059102639
42,316, HenningJ,20,0.0002280675,0,0.0001593183
43,2723, Dinah,158,0.0013303938,0.0026798765,0.0003732926
44,191, Peter Coulton,0,0,8.120838E-005,0
45,1556, Harlan,121,0.0011403376,0.002111418,0.0002503869
46,159, Foodie Ron,15,0.0001900563,0,4.82865525188813E-005
47,1492, Eclipse,89,0.0007222138,0.0012181257,0.0002476041
48,101, halkeye,0,0,0,0
49,186, Ã…ï¿½ukasz Lew,0,0.0001140338,0.0002436251,4.64936552550072E-005
50,608, Chas. Owens,9,7.60225E-005,0.0001624168,4.43377657746925E-005
51,1511, Janelle,125,0.0011023263,0.0021926262,0.000272281
52,158, Andrew,1,7.60225E-005,0.0001624168,5.41151973949817E-005
53,717, Willbill,8,0.0001900563,0.0003248335,5.69014793409232E-005
54,492, Fczbkk,27,0.000152045,0.0003248335,5.29492005524361E-005
55,171, cortijon,7,7.60225E-005,0,4.59194107186364E-005
57,309, Eight Days of Malaise,0,0,8.120838E-005,0
58,75, home scratch can-am,0,0,8.120838E-005,0
59,101, Alvin Ashcraft,0,0,0,0
60,28284, hobodave,1756,0.007564239,0.010800715,0.0029416383
61,996, Bryant,72,0.0006842025,0.0012993341,0.000191659
62,585, txwikinger,36,0.000456135,0.0008120838,0.0001051175
63,589, plor,25,0.0003801125,0.0007308754,0.0001328019
64,557, jessecurry,21,0.0003421013,0.0006496671,6.93564040850875E-005
65,718, Kiesa,50,0.00030409,0.0006496671,9.45502689920306E-005
66,626, Herb Caudill,12,0.000152045,0.0003248335,5.14108114881568E-005
67,27902, Joe,1791,0.016192794,0.018759135,0.0071845476
68,101, vitule,0,0,0,0
69,440, cyberzed,33,0.0001900563,0.0003248335,6.21495849989268E-005
70,505, Dave DeLong,24,0.000152045,0.0003248335,5.65638801693737E-005
71,181, Pinko,8,7.60225E-005,0.0001624168,5.41151973949817E-005
72,261, SpecKK,16,0.0001140338,0,5.59068284339132E-005
74,181, Gnoupi,0,0,8.120838E-005,0
75,531, Guildencrantz,43,0.0002280675,0,0.0001198145
76,137, Brant,0,0,8.120838E-005,0
77,882, Blorgbeard,68,0.0002280675,0.0003248335,6.23204877508083E-005
78,261, Kevin Davis,16,0.0001140338,0,4.68326433487739E-005
79,702, Nathan Koop,9,0.00030409,0.0004872503,5.70963158988872E-005
80,106, Sushma,0,0,8.120838E-005,0
81,101, Espen Herseth Halvorsen,0,0,0,0
82,101, Juice,0,0,0,0
