Id,SE,Name,Weighted In-Degree,Authority,Hub,PageRank
3,2160, littlebirdceo,54,0.0002031465,0.0003294428,0.0001026088
5,31, Cyberspice,0,4.5143668E-005,0,2.46365534145329E-005
6,440, ArduinoFun,31,0.0002031465,0.0002823795,0.000062452
8,56, cmchap,0,0,4.706325E-005,0
9,2775, JohnC,174,0.0004740085,0.0008471386,0.0001474363
10,1693, bpijls,104,0.0003837212,0.000753012,0.0001828321
11,1704, Lou,135,0.0004514367,0.0008471386,0.0001374243
12,1057, jkopel,72,0.0003837212,0.0006588855,0.0001132518
13,406, sivu,36,0.000135431,0,4.48421066994595E-005
15,116, Adam,17,9.0287336E-005,0,2.70354227925973E-005
19,431, SiliconFarmer,50,0.000135431,0,7.58017595958822E-005
20,219, bigiain,11,9.0287336E-005,0,5.70705071884925E-005
21,2184, mad_z,11,9.0287336E-005,0.000188253,4.46299376998554E-005
22,226, Greg Borenstein,11,4.5143668E-005,0,2.38493463533311E-005
23,191, Tom Davies,6,9.0287336E-005,0.0001411898,4.22187049941628E-005
24,188, Allan,11,6.7715504E-005,0.0001411898,4.18512385538945E-005
25,636, thisismyrobot,45,0.0002031465,0,3.79318229831491E-005
26,391, Andrew S. Parnell,24,0.0001128592,0,0.000048145
29,357, ril3y,3,4.5143668E-005,4.706325E-005,2.52992501194337E-005
30,41, tgruben,4,4.5143668E-005,0,4.21578109629935E-005
31,146, jonoxer,13,6.7715504E-005,0,2.48278805881074E-005
33,171, Trent Lloyd,9,4.5143668E-005,0,2.38493463533311E-005
34,66, Ross,5,4.5143668E-005,0,2.38493463533311E-005
36,579, shutterdrone,32,0.000135431,0,6.85984971658814E-005
45,181, Zefiro,8,6.7715504E-005,0,2.42141142220366E-005
51,1778, blalor,90,0.0006545832,0.0010824548,0.0001967096
52,51, Kean,5,6.7715504E-005,0,4.18512385538945E-005
55,101, desNotes,0,0,4.706325E-005,0
58,158, Michael Gorsuch,0,0,4.706325E-005,0
64,41, user64,4,4.5143668E-005,0,2.38493463533311E-005
65,288, Dominik,8,4.5143668E-005,9.41265E-005,2.32341300701695E-005
70,758, phooky,50,0.0002482902,0.0004706325,9.61717254467303E-005
72,792, Scott Murphy,54,0.0003611493,0.0007059488,0.0001474072
73,121, vic,12,6.7715504E-005,0,4.26384456150963E-005
81,1123, zklapow,35,0.000270862,0.0004235693,5.89784594880307E-005
84,275, Grumdrig,5,4.5143668E-005,9.41265E-005,2.47845462329079E-005
86,323, MrEvil,43,9.0287336E-005,0,5.42465173876863E-005
92,305, Hristos,8,9.0287336E-005,0.000188253,4.93655889909244E-005
94,911, tuupola,29,0.0001805747,0.0002353163,5.15340546532509E-005
95,31, user95,3,4.5143668E-005,0,2.87983513631706E-005
97,51, mateja,4,4.5143668E-005,4.706325E-005,2.43646778432915E-005
101,61, user101,6,4.5143668E-005,0,2.38493463533311E-005
102,186, Tye Scott,2,4.5143668E-005,0,2.38493463533311E-005
103,2327, Amos,115,0.0006997269,0.0012236446,0.0001815361
105,531, NeedTungsten,45,0.0001805747,0.0002823795,0.0001184938
106,1517, Clinton Blackmore,65,0.0003611493,0.0006588855,8.54021854249318E-005
107,932, Seidleroni,32,0.0002257184,0.0004235693,9.46342028328155E-005
110,171, roberto,11,4.5143668E-005,9.41265E-005,2.38493463533311E-005
112,111, Jonny,11,6.7715504E-005,0,3.0606713886075E-005
116,1, John Y,0,0,0,0
117,336, Evan,15,4.5143668E-005,9.41265E-005,2.32341300701695E-005
120,41, user120,4,4.5143668E-005,0,2.96267297342079E-005
123,478, Nikolaus Gradwohl,35,0.0001580029,0.0002353163,4.06627011081088E-005
126,141, Senator Penguin,14,4.5143668E-005,0,2.50637133119E-005
127,101, Mark Davidson,0,0,0,0
131,5932, davr,352,0.0016703157,0.0025884788,0.0006003224
132,91, jotasa,6,6.7715504E-005,9.41265E-005,2.50013212832384E-005
134,46, sjunnesson,3,4.5143668E-005,0,3.25889138733431E-005
139,111, ka1kjz,8,9.0287336E-005,0,2.59662907115371E-005
140,705, Dago,52,0.0003160057,0.0004235693,0.0001701244
141,101, jschrab,0,0,0,0
142,14155, endolith,864,0.0032277724,0.004329819,0.0012799965
143,1283, Craig Trader,56,0.0003160057,0,8.88134127021162E-005
144,11, gbraad,1,4.5143668E-005,0,4.97262642724647E-005
145,1, user145,0,0,0,0
151,183, JScott,22,6.7715504E-005,4.706325E-005,2.56563304227913E-005
152,138, cmpalmer,0,0,4.706325E-005,0
157,1, SixOThree,0,0,0,0
159,81, Adam Shea,8,4.5143668E-005,0,2.50637133119E-005
161,7847, Adam Davis,499,0.0018508905,0.0023060993,0.0007129435
162,51, Achim,4,6.7715504E-005,0,0.000031587
165,41, Some Guy on the Internet,4,6.7715504E-005,0,2.8093905906109E-005
168,111, Gero Nimo,1,4.5143668E-005,0,2.38493463533311E-005
170,75, Quaremz,0,0,4.706325E-005,0
172,108, ZeroTruths,6,4.5143668E-005,9.41265E-005,2.32341300701695E-005
173,31, pietervanharen,0,0,4.706325E-005,0
182,31, madaerodog,3,4.5143668E-005,0,2.32341300701695E-005
187,121, webclimber,2,4.5143668E-005,0,2.43646778432915E-005
193,81, Larry,8,4.5143668E-005,0,2.50637133119E-005
196,467, cyphunk,17,0.0001580029,0.0003294428,6.65373793646394E-005
198,441, ppvi,23,0.0001580029,0.0002823795,0.0001036182
199,574, mba7,20,0.0001580029,0.0003294428,0.000038507
201,496, DrAl,35,0.000135431,0,0.000083443
202,163, user202,0,0,4.706325E-005,0
204,1931, Robert,76,0.0007674424,0.0012236446,0.0004225522
205,31, thais,0,0,4.706325E-005,0
206,9922, Brian Carlton,559,0.0065232604,0.0071065514,0.0031414419
207,939, msutherl,45,0.0004288649,0.0008000753,9.47454307682622E-005
208,123, Donny V,0,0,4.706325E-005,0
209,118, Tim,0,0,4.706325E-005,0
212,161, Squirt8500,16,0.0001128592,0,0.000046141
213,1509, edebill,59,0.0003837212,0.0006118223,0.0001183531
215,3728, todbot,285,0.0007448706,0.0011765814,0.0002478005
216,325, Tim Post,4,4.5143668E-005,9.41265E-005,4.08712544020273E-005
217,71, user217,0,0,4.706325E-005,0
218,266, icabrindus,25,0.0001128592,0,5.32211424451076E-005
220,71, qartis,7,4.5143668E-005,0,2.47994141856732E-005
221,541, Radian,42,0.0001580029,0,8.59405175866041E-005
222,780, Jeanne Pindar,60,0.0003160057,0.0004706325,8.92165186606589E-005
224,116, user224,0,0,4.706325E-005,0
225,11, ghost,1,4.5143668E-005,0,4.08712544020273E-005
227,551, Monica,33,0.0001805747,0,6.76218756004665E-005
230,9291, Kortuk,595,0.0026409046,0.0031061748,0.001022356
231,136, Angryhacker,0,0,4.706325E-005,0
236,121, Steve Pomeroy,2,4.5143668E-005,0,2.32341300701695E-005
237,121, Paul Stoffregen,12,4.5143668E-005,0,3.5401613455602E-005
243,401, spiffed,37,0.0001128592,0,5.15999124244331E-005
244,2858, Axeman,219,0.0015800284,0.0016942772,0.0007600624
245,1045, jadiaz,37,0.0002257184,0.0004235693,0.000095078
249,7522, AngryEE,467,0.003543778,0.004518072,0.0016000583
255,662, Len Holgate,27,0.0001805747,0.0003294428,5.4438850292796E-005
257,113, Mark,2,4.5143668E-005,0,2.48803630972054E-005
259,2311, Michael Kohne,195,0.0009254452,0.0012707078,0.000349891
265,41, Laen,4,4.5143668E-005,0,2.47994141856732E-005
267,433, SaM,6,6.7715504E-005,0.0001411898,2.46447843554498E-005
271,141, Lachlan Pease,4,4.5143668E-005,0,2.51480989576623E-005
272,326, FunGizmos,31,0.0001128592,0,7.80187380839495E-005
274,154, user274,10,6.7715504E-005,0,2.52872185209151E-005
280,11, Devin,0,0,4.706325E-005,0
284,56, H3liosphan,0,0,4.706325E-005,0
286,142, SiliconFarmer,11,0.0001128592,0,3.30680774074455E-005
289,101, bill weaver,0,0,0,0
290,61, noise,0,0,4.706325E-005,0
294,51, follower,5,4.5143668E-005,0,2.47994141856732E-005
295,190, Sketchy Fletchy,10,0.0001128592,0.0002353163,4.79135665538594E-005
297,76, Harley Mackenzie,0,0,4.706325E-005,0
298,60, Hamish Currie,1,4.5143668E-005,9.41265E-005,0.000026644
299,136, Brad Campbell,12,4.5143668E-005,0,6.46352621360016E-005
305,29700, Leon Heller,1519,0.010495903,0,0.0042707726
307,177, English Dave,16,6.7715504E-005,0,2.57933801030575E-005
309,101, Kleist,0,0,0,0
311,186, Lucas,0,0,4.706325E-005,0
312,796, Justblair,127,0.0002031465,0.0003294428,5.14448283962048E-005
313,119, bobdole369,9,6.7715504E-005,0,0.000032133
319,12265, Kellenjb,692,0.003927499,0.00404744,0.0013333714
322,88, GLaDOS,0,0,4.706325E-005,0
323,174, Lars,4,4.5143668E-005,9.41265E-005,2.66411863019617E-005
326,141, Nathan,0,0,4.706325E-005,0
327,573, Vineeth,42,0.0002482902,0.0004706325,0.0001030305
328,2271, Clint Lawrence,177,0.0006094396,0,0.0002146948
329,312, jldupont,0,0,4.706325E-005,0
330,9774, Jason S,654,0.003837212,0.0051298947,0.0015727306
331,974, wackyvorlon,28,0.0002482902,0,6.38755030260355E-005
332,41, Davek,4,4.5143668E-005,0,4.08712544020273E-005
333,844, Edward,8,4.5143668E-005,9.41265E-005,2.34385893648639E-005
337,175, user337,2,4.5143668E-005,9.41265E-005,2.32341300701695E-005
339,4448, starblue,321,0.0023474707,0.0026826055,0.0005519319
340,101, NomadAlien,0,0,0,0
343,61, John D,6,6.7715504E-005,0,2.8423391728252E-005
344,190, Steve,0,0,4.706325E-005,0
346,121, DownCount,0,0,4.706325E-005,0
347,433, Dustin,18,0.0001580029,0.0002353163,5.12613733481523E-005
348,441, Erik,11,0.0001128592,0.000188253,6.1183148378558E-005
349,91, fpganewbie,0,0,4.706325E-005,0
351,81, Paulo Henrique Silva,8,4.5143668E-005,0,2.32341300701695E-005
354,185, SteveP,2,4.5143668E-005,9.41265E-005,0.000024303
356,126, robzy,7,4.5143668E-005,9.41265E-005,2.62632776305866E-005
358,241, Some guy,24,0.000135431,0,3.04816078827047E-005
364,101, Vincent P,10,4.5143668E-005,0,2.50292625729927E-005
365,28, tomeast,0,0,4.706325E-005,0
368,196, morgellon,35,0.000135431,0,4.36775454834635E-005
370,183, Andrew Spitz,1,4.5143668E-005,9.41265E-005,2.43571482945991E-005
373,204, X-Istence,8,4.5143668E-005,9.41265E-005,4.08712544020273E-005
374,2301, J. Polfer,188,0.000677155,0.0010824548,0.000268053
375,71, John D,7,4.5143668E-005,0,2.32341300701695E-005
377,101, benteight,0,0,0,0
378,91, talex,6,4.5143668E-005,9.41265E-005,3.19108395373068E-005
379,221, Malkocoglu,9,9.0287336E-005,0.000188253,0.0002170991
386,71, Jess,5,6.7715504E-005,0.0001411898,0.000041236
387,419, Steve Melnikoff,33,0.0001128592,0,5.5041627284279E-005
389,1268, unixbigot,83,0.0005868677,0,0.0001257706
393,141, Stefan Arentz,0,0,4.706325E-005,0
